config,overdraw,overdraw_ci,exposure,exposure_ci,exposure_p95,utility_frac,utility_frac_ci,exec_pre,exec_burst,exec_post,exec_w0,exec_wlast,n_denied,n_honest_denied,n_reauth,approved_charge,approved_exposure,sibling_exec,frag_moved
e1_local,1.0,0.0,607523.007002329,7065.39891836985,715538.2309591161,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e1_budget,0.0,0.0,119704.38772338507,1577.5786690997143,143582.42093894287,0.19959112900911533,0.001941509272727351,0.9994806228856843,0.1402293001693132,0.0003892192957084808,0.19959112900911535,0.19959112900911535,117.20333333333333,117.20333333333333,0.0,0.0,0.0,1.0,0.0
e1_cap,0.0,0.0,62743.1094261925,1124.7719591757227,79361.4746854562,0.10364189759862233,0.001067805912411818,0.9320657266950412,0.03821438319750665,0.00010910556269559798,0.1036418975986223,0.1036418975986223,131.37666666666667,131.37666666666667,0.0,0.0,0.0,1.0,0.0
e1_local_attack,1.0,0.0,978160.0079663292,7432.783522826059,1084398.10739477,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1500000.0
e1_budget_attack,0.0,0.0,119227.67231872946,1235.2404752971831,136923.99114700203,0.008501242512058292,0.0009169434868838566,0.13489627913643565,0.0005714062918445315,4.361022152768776e-05,0.00850124251205829,0.00850124251205829,1100.15,116.73333333333333,0.0,0.0,0.0,1.0,458566.6666666667
e1_budget_attack_misdecl,0.7733333333333333,0.0474567148511856,262050.95539102732,1996.1224678413319,291400.56518045894,0.016038344619882496,0.001201226258115806,0.25484763635457325,0.0001887870622190345,0.00013341525813860103,0.016038344619882492,0.016038344619882492,1044.1666666666667,116.03333333333333,0.0,0.0,0.0,1.0,1012700.0
e2_bf0.25,0.0,0.0,29864.701681188053,785.7825389566719,42141.24613500443,0.0492895818196068,0.000514995023150106,0.6664021359555462,0.007411605093425176,0.003427650520704531,0.0492895818196068,0.0492895818196068,139.56333333333333,139.56333333333333,0.0,0.0,0.0,1.0,0.0
e2_bf0.5,0.0,0.0,59313.84439237858,1161.5454916010622,76930.97395315519,0.09936068484140613,0.0010100223972886685,0.9272318328306522,0.035286425680694136,0.004037498445846589,0.09936068484140612,0.09936068484140612,132.40666666666667,132.40666666666667,0.0,0.0,0.0,1.0,0.0
e2_bf0.75,0.0,0.0,89589.64056009664,1469.9417133145591,113266.70665596725,0.1489569570753131,0.0015336738156498525,0.9919424740618598,0.08339526655337334,0.0034246451366131123,0.1489569570753131,0.1489569570753131,125.03666666666666,125.03666666666666,0.0,0.0,0.0,1.0,0.0
e2_bf1.0,0.0,0.0,120472.80509682419,1739.1825224694762,149630.79868888558,0.19925815005532704,0.0020699396302483277,1.0,0.1416607215778789,0.003485891893692355,0.19925815005532704,0.19925815005532704,117.67333333333333,117.67333333333333,0.0,0.0,0.0,1.0,0.0
e2_bf1.25,0.0,0.0,150702.85122276584,1977.0156258236186,180486.13191947038,0.24993394354408124,0.0024270537391803825,1.0,0.2011609870323394,0.0035603565224220798,0.2499339435440812,0.2499339435440812,109.96,109.96,0.0,0.0,0.0,1.0,0.0
e2_bf1.5,0.0,0.0,180997.50798453545,2070.791282851964,211555.268117946,0.30021013153752574,0.003021534837434799,1.0,0.2611837782026107,0.0035935687876096785,0.3002101315375257,0.3002101315375257,102.59333333333333,102.59333333333333,0.0,0.0,0.0,1.0,0.0
e2_bf2.0,0.3333333333333333,0.053433573580489335,240973.92741241047,2456.3825832589105,278003.5546462701,0.40088441474888564,0.004003754809631641,1.0,0.38114306450745167,0.0035287172473880504,0.40088441474888564,0.40088441474888564,87.95666666666666,87.95666666666666,0.0,0.0,0.0,1.0,0.0
e3_eps0.25,1.0,0.0,481921.758471513,3360.4738856431927,529368.2081582877,0.8075310408647975,0.008506803443338257,1.0,0.8550495210705927,0.053514226056349964,0.8075310408647975,0.8075310408647975,28.6,28.6,0.0,0.0,0.0,1.0,0.0
e3_eps0.5,0.32,0.052874944278376974,241241.17116665075,2312.8292047070086,275451.7219662267,0.4014848275274447,0.004234854407430254,1.0,0.3782373989792383,0.0036061219299461586,0.4014848275274447,0.4014848275274447,87.26333333333334,87.26333333333334,0.0,0.0,0.0,1.0,0.0
e3_eps0.75,0.0,0.0,161359.48340461403,1825.9497198584809,188808.53159934364,0.2667066056144279,0.0027779910712900477,1.0,0.2175145425806496,0.0034684480187280407,0.2667066056144279,0.2667066056144279,106.96666666666667,106.96666666666667,0.0,0.0,0.0,1.0,0.0
e3_eps1.0,0.0,0.0,121309.55709999318,1659.6482645211534,144754.0420303242,0.2006003607795701,0.0020379560648969308,0.9998369973272306,0.1388453970480928,0.0036683673173352445,0.20060036077957008,0.20060036077957008,116.43666666666667,116.43666666666667,0.0,0.0,0.0,1.0,0.0
e3_eps1.5,0.0,0.0,80472.79283256106,1337.7173766369676,99521.86956161249,0.1338045746890387,0.0014439610681357587,0.9791018264726706,0.06275370108263097,0.003644295117844527,0.1338045746890387,0.1338045746890387,126.07333333333334,126.07333333333334,0.0,0.0,0.0,1.0,0.0
e3_eps2.0,0.0,0.0,60237.250014826604,1148.9848133528756,76935.86097925989,0.10078870446877661,0.0010806152899045449,0.9164130975183226,0.03341228801174889,0.003665326146847061,0.10078870446877661,0.10078870446877661,130.82666666666665,130.82666666666665,0.0,0.0,0.0,1.0,0.0
e3_eps4.0,0.0,0.0,30103.34159052182,818.382417284905,42858.519881117805,0.049741160846358996,0.0005042044911886999,0.6478267875069298,0.0068682077471010185,0.003415559509482854,0.049741160846358996,0.049741160846358996,138.12333333333333,138.12333333333333,0.0,0.0,0.0,1.0,0.0
e4_static1,0.0,0.0,41022.03013776828,1032.2871265694148,59328.86835329509,0.06770299282295879,0.001448152755271603,0.10158692334652572,0.06727547838035754,0.05719154847558899,0.06770299282295879,0.06770299282295879,126.37,126.37,0.0,0.0,0.0,1.0,0.0
